package,variety_a,variety_b,variety_c,district,village,planting_date,lon,lat,characteristic,best,worst,overall_vs_local,var_a,var_b,var_c,yield,best_yield,worst_yield,project,season,year,crop,country,variety_d,rank_variety_a,rank_variety_b,rank_variety_c,rank_variety_d,GDD,GDD_veg,GDD_flo,GDD_gra,maxDT_VEG,minDT_VEG,maxNT_VEG,minNT_VEG,SU_VEG,TR_VEG,DTR_VEG,maxDTR_VEG,sdDTR_VEG,MLDS_VEG,MLWS_VEG,R5mm_VEG,R10mm_VEG,R20mm_VEG,SDII_VEG,Rx1day_VEG,Rx5day_VEG,Rtotal_VEG,maxDT_FLO,minDT_FLO,maxNT_FLO,minNT_FLO,SU_FLO,TR_FLO,DTR_FLO,maxDTR_FLO,sdDTR_FLO,MLDS_FLO,MLWS_FLO,R5mm_FLO,R10mm_FLO,R20mm_FLO,SDII_FLO,Rx1day_FLO,Rx5day_FLO,Rtotal_FLO,maxDT_GRA,minDT_GRA,maxNT_GRA,minNT_GRA,SU_GRA,TR_GRA,DTR_GRA,maxDTR_GRA,sdDTR_GRA,MLDS_GRA,MLWS_GRA,R5mm_GRA,R10mm_GRA,R20mm_GRA,SDII_GRA,Rx1day_GRA,Rx5day_GRA,Rtotal_GRA,maxDT_FLO_acc,minDT_FLO_acc,maxNT_FLO_acc,minNT_FLO_acc,SU_FLO_acc,TR_FLO_acc,DTR_FLO_acc,maxDTR_FLO_acc,sdDTR_FLO_acc,MLDS_FLO_acc,MLWS_FLO_acc,R5mm_FLO_acc,R10mm_FLO_acc,R20mm_FLO_acc,SDII_FLO_acc,Rx1day_FLO_acc,Rx5day_FLO_acc,Rtotal_FLO_acc,maxDT_GRA_acc,minDT_GRA_acc,maxNT_GRA_acc,minNT_GRA_acc,SU_GRA_acc,TR_GRA_acc,DTR_GRA_acc,maxDTR_GRA_acc,sdDTR_GRA_acc,MLDS_GRA_acc,MLWS_GRA_acc,R5mm_GRA_acc,R10mm_GRA_acc,R20mm_GRA_acc,SDII_GRA_acc,Rx1day_GRA_acc,Rx5day_GRA_acc,Rtotal_GRA_acc,soil,xy,yx,planting_day
paquete 121,INTA Rojo,PM2 Don Rey,INTA Ferroso,Tuma la Dalia,Verapaz,16787,-85.72906494,13.13832845,Overall_performance-(A/B/C),C,A,Overall_performance_VS_Local-(Best/Worse),Worse,Worse,Better,Yield-(A/B/C),C,A,nic_apante_2015,Ap15,2015,commonbean,NIC,NA,NA,NA,NA,NA,77,26,30,22,26.333166728832516,25.79000000000002,15.83450578142488,15.50905259231634,0,0,10.251371435353132,10.824114136516176,0.27491350942831083,18,2,0,1,0,0.5907204246520996,10.106672286987305,14.76801061630249,14.76801061630249,28.499317418873567,26.428839985080206,15.705859753823223,15.312797463632979,0,0,12.078592979402368,12.807251025736631,0.6459589513921299,6,1,4,0,0,1.5300029064046925,16.5376033782959,16.5376033782959,44.370084285736084,31.087963446475186,28.61009697873931,16.25318537859011,15.551074226035082,7,0,13.84382954121593,14.834778067885075,0.6013852541289848,7,1,0,0,0,0.27366271018981936,3.709564208984375,3.709564208984375,6.841567754745483,28.499317418873567,25.79000000000002,15.83450578142488,15.312797463632979,0,0,11.25108690787018,12.807251025736631,1.0403480931696587,18,2,4,1,0,1.095149905593307,16.5376033782959,16.5376033782959,59.138094902038574,31.087963446475186,25.79000000000002,16.25318537859011,15.312797463632979,7,0,12.00441857410781,14.834778067885075,1.4962864087771672,18,2,4,1,0,0.8681534560103166,16.5376033782959,16.5376033782959,65.97966265678406,Humic Nitisols,-72.59073649,-98.86739339,352
paquete 132,BRT 103-182,SJC 730-79,PM2 Don Rey,Matiguas,El Anzuelo,16772,-85.45715332,12.83791244,Overall_performance-(A/B/C),C,A,Overall_performance_VS_Local-(Best/Worse),Worse,Worse,Better,Yield-(A/B/C),A,B,nic_apante_2015,Ap15,2015,commonbean,NIC,NA,NA,NA,NA,NA,60,19,23,19,30.54211488250654,30.107724729578543,19.415598657217465,19.113379336068643,22,0,11.164046827845784,11.428735546437895,0.21653841362416143,7,2,1,2,0,1.4307789421081543,11.132913589477539,21.892773628234863,35.76947355270386,31.911133905259216,30.093632972771406,19.205076464006,18.84104811637451,27,0,11.889646483484594,13.070085788884708,0.636343640530614,10,2,3,1,0,0.9801720915169552,10.601921081542969,17.026928901672363,28.4249906539917,34.01718015665796,32.09240954867588,18.964696008951908,18.810835509138386,20,0,14.187281611339037,15.05248414770605,0.5683141560275845,6,1,2,0,0,1.4196356964111327,17.265504837036133,17.265504837036133,35.49089241027832,31.911133905259216,30.093632972771406,19.415598657217465,18.84104811637451,50,0,11.551821111525546,13.070085788884708,0.61030008910629,15,2,4,3,0,1.1887863741980658,11.132913589477539,21.892773628234863,64.19446420669556,34.01718015665796,30.093632972771406,19.415598657217465,18.810835509138386,71,0,12.316935871101276,15.05248414770605,1.3327837498237294,15,2,6,3,0,1.3116494291707088,17.265504837036133,21.892773628234863,99.68535661697388,Eutric Regosols,-72.61924088,-98.29506576,337
paquete 14,INTA Ferroso,INTA Precoz,INTA Matagalpa,El Cua,La Chata,16785,-85.66263199,13.36256484,Overall_performance-(A/B/C),A,B,Overall_performance_VS_Local-(Best/Worse),Better,Worse,Worse,Yield-(A/B/C),A,B,nic_apante_2015,Ap15,2015,commonbean,NIC,NA,NA,NA,NA,NA,75,25,29,22,26.390913838120152,25.57302872062664,16.39778067885122,15.809608355091402,0,0,9.883902716082854,10.58130548302875,0.4439587300307243,17,2,2,0,0,0.7273849487304688,9.4024658203125,18.18462371826172,18.18462371826172,28.86853785900783,26.496657963446488,16.047650130548348,15.696311077956043,0,0,11.859414812051837,12.820887728459482,0.7090607685946325,16,1,0,0,1,1.8843118075666756,54.645042419433594,54.645042419433594,54.645042419433594,31.533759791122677,28.99276762402085,16.661174934725853,16.030268556508798,10,0,13.85204998135018,14.872584856396823,0.6533939618826049,8,1,1,0,0,0.6421923828125,7.564485549926758,7.564485549926758,16.0548095703125,28.86853785900783,25.57302872062664,16.39778067885122,15.696311077956043,0,0,10.966137933606827,12.820887728459482,1.1483644462407414,34,2,2,0,1,1.3486975210684318,54.645042419433594,54.645042419433594,72.82966613769531,31.533759791122677,25.57302872062664,16.661174934725853,15.696311077956043,10,0,11.805690592641971,14.872584856396823,1.6597222542084338,34,2,3,0,1,1.169532575105366,54.645042419433594,54.645042419433594,88.88447570800781,Haplic Nitisols,-72.30006714999999,-99.02519683,350
paquete 15,BRT 103-182,PM2 Don Rey,ALS 0532-6,El Cua,La Chata,16799,-85.66520691,13.37425554,Overall_performance-(A/B/C),A,C,Overall_performance_VS_Local-(Best/Worse),Better,Worse,Worse,Yield-(A/B/C),A,C,nic_apante_2015,Ap15,2015,commonbean,NIC,NA,NA,NA,NA,NA,71,24,27,20,27.642454308093996,26.58994778067887,16.10462140992171,15.794908616188012,0,0,11.079325387406321,11.71678851174933,0.36178394915870193,22,1,0,0,0,0,0,0,0,30.41652741514348,27.82876538605001,16.556814621409906,15.965949272659488,3,0,12.604177821984575,13.859712793733575,0.5582853202033016,11,1,1,0,1,2.277595010297052,54.645042419433594,54.645042419433594,66.0502552986145,32.92446475195824,30.799220440134235,17.208590078329003,16.63234613950019,20,0,15.065650690041002,15.715874673629237,0.478855820091198,18,1,0,0,0,0.18598386764526367,4.649596691131592,4.649596691131592,4.649596691131592,30.41652741514348,26.58994778067887,16.556814621409906,15.794908616188012,3,0,11.91695524058185,13.859712793733575,0.8927793977691286,25,1,1,0,1,1.2231528759002686,54.645042419433594,54.645042419433594,66.0502552986145,32.92446475195824,26.58994778067887,17.208590078329003,15.794908616188012,24,0,12.833437596860513,15.715874673629237,1.6320758649759277,25,1,1,0,1,0.930261210391396,54.645042419433594,54.645042419433594,70.6998519897461,Haplic Nitisols,-72.29095136999999,-99.03946245,364
paquete 18,ALS 0532-6,PM2 Don Rey,BRT 103-182,El Cua,El Golfo Central,16789,-85.64460754,13.37893166,Overall_performance-(A/B/C),C,A,Overall_performance_VS_Local-(Best/Worse),Worse,Worse,Better,Yield-(A/B/C),C,A,nic_apante_2015,Ap15,2015,commonbean,NIC,NA,NA,NA,NA,NA,73,24,28,21,27.277124207385327,26.933453935098864,16.607911227154123,15.93575158522942,0,0,10.914269607676887,11.341372622155907,0.31579665504479415,21,1,1,0,0,0.22427955627441407,5.606988906860352,5.606988906860352,5.606988906860352,28.928314061917206,27.326329727713542,16.44696381947038,15.928164863856784,0,0,11.874961249948194,12.529254009697851,0.3361650560424309,12,2,1,0,1,2.253649481411638,38.40510559082031,57.60765838623047,65.3558349609375,31.696117120477428,29.07937709809769,17.111193584483402,16.31093994778069,12,0,13.694701976874255,14.584923535994026,0.6003451981891856,11,2,0,0,0,0.3619412994384766,4.918574333190918,9.048532485961914,9.048532485961914,28.928314061917206,26.933453935098864,16.607911227154123,15.915609847072018,0,0,11.442189406937697,12.529254009697851,0.5754447818007844,34,2,2,0,1,1.3141263679221824,38.40510559082031,57.60765838623047,70.96282386779785,31.696117120477428,26.933453935098864,17.111193584483402,15.915609847072018,12,0,12.093322808916136,14.584923535994026,1.1701071004654013,34,2,2,0,1,1.0527810046547337,38.40510559082031,57.60765838623047,80.01135635375977,Haplic Nitisols,-72.26567588,-99.02353919999999,354
paquete 19,SJC 730-79,INTA Sequia Fuerte,INTA Centro Sur,El Cua,El Golfo Central,16796,-85.65971375,13.37291949,Overall_performance-(A/B/C),A,B,Overall_performance_VS_Local-(Best/Worse),Better,Worse,Worse,Yield-(A/B/C),A,B,nic_apante_2015,Ap15,2015,commonbean,NIC,NA,NA,NA,NA,NA,72,25,28,20,27.38536740022378,26.506863110779562,16.22547183886616,15.794908616188012,0,0,10.902484995422316,11.508936963819442,0.35820786835178486,22,1,0,0,0,0,0,0,0,29.842487877657607,27.55153674002241,16.44475568817608,15.906643043640454,0,0,12.383181096053129,13.398970533383075,0.45850454819523867,11,1,1,0,1,2.277595010297052,54.645042419433594,54.645042419433594,66.0502552986145,32.68538232002984,30.22518090264819,17.12105184632602,16.51904886236478,20,0,14.794024244684785,15.56433047370382,0.5707488705949679,15,1,0,0,0,0.18598386764526367,4.649596691131592,4.649596691131592,4.649596691131592,29.842487877657607,26.506863110779562,16.44475568817608,15.794908616188012,0,0,11.715549496456523,13.398970533383075,0.8422281543402226,28,1,1,0,1,1.2231528759002686,54.645042419433594,54.645042419433594,66.0502552986145,32.68538232002984,26.506863110779562,17.12105184632602,15.794908616188012,21,0,12.608598746526129,15.56433047370382,1.5912123986692546,28,1,1,0,1,0.930261210391396,54.645042419433594,54.645042419433594,70.6998519897461,Haplic Nitisols,-72.28679426,-99.03263324,361
paquete 20,INTA Matagalpa,INTA Ferroso,INTA Precoz,El Cua,El Golfo Central,16785,-85.65490723,13.38895161,Overall_performance-(A/B/C),B,A,Overall_performance_VS_Local-(Best/Worse),Worse,Better,Worse,Yield-(A/B/C),B,A,nic_apante_2015,Ap15,2015,commonbean,NIC,NA,NA,NA,NA,NA,76,25,30,22,27.007747109287624,26.331462140992162,16.011618798955666,15.829608355091423,0,0,10.68698925095791,11.046482655725477,0.2171717038043311,17,2,2,0,0,0.7273849487304688,9.4024658203125,18.18462371826172,18.18462371826172,27.974125326370782,26.68396493845584,16.176475195822483,15.716311077956027,0,0,11.396670120325481,11.797650130548298,0.2860811137529228,16,1,0,0,1,1.8843118075666756,54.645042419433594,54.645042419433594,54.645042419433594,30.324308093994723,28.09500932487876,16.752349869451685,16.070939947780737,3,0,12.77332599776198,13.571958224543039,0.540549816246815,8,1,1,0,0,0.6421923828125,7.564485549926758,7.564485549926758,16.0548095703125,27.974125326370782,26.331462140992162,16.176475195822483,15.716311077956027,0,0,11.073614621409922,11.797650130548298,0.43499252585635906,34,2,2,0,1,1.3486975210684318,54.645042419433594,54.645042419433594,72.82966613769531,30.324308093994723,26.331462140992162,16.752349869451685,15.716311077956027,3,0,11.562887928090724,13.571958224543039,0.8957119691195977,34,2,3,0,1,1.169532575105366,54.645042419433594,54.645042419433594,88.88447570800781,Haplic Nitisols,-72.26595562,-99.04385884000001,350
paquete 21,ALS 0532-6,BRT 103-182,PM2 Don Rey,El Cua,El Golfo Central,16785,-85.62194824,13.38561167,Overall_performance-(A/B/C),C,A,Overall_performance_VS_Local-(Best/Worse),Worse,Worse,Better,Yield-(A/B/C),C,A,nic_apante_2015,Ap15,2015,commonbean,NIC,NA,NA,NA,NA,NA,79,26,30,23,25.9564826557255,25.360660201417407,15.763107049608394,15.43657963446479,0,0,10.042389542572291,10.414203655352468,0.2597947385680485,17,1,1,0,0,0.22427955627441407,5.606988906860352,5.606988906860352,5.606988906860352,27.430887728459556,25.94142111152556,16.142506527415186,15.411402461768024,0,0,10.988599886719992,11.333700111898576,0.2807134930863452,16,2,0,0,1,1.9864709788355335,38.40510559082031,57.60765838623047,57.60765838623047,29.624778067885064,27.53276762402087,16.60164490861618,16.011208504289502,0,0,12.192358075344979,13.023133159268884,0.4996747644258651,14,2,1,0,0,0.6718683624267578,7.748176574707031,9.048532485961914,16.796709060668945,27.430887728459556,25.360660201417407,16.142506527415186,15.411402461768024,0,0,10.561786497575522,11.333700111898576,0.5407705368731166,34,2,1,0,1,1.1706416165387188,38.40510559082031,57.60765838623047,63.21464729309082,29.624778067885064,25.360660201417407,16.60164490861618,15.411402461768024,0,0,11.031229780773394,13.023133159268884,0.9033157640407927,34,2,2,0,1,1.0527810046547337,38.40510559082031,57.60765838623047,80.01135635375977,Haplic Nitisols,-72.23633656999999,-99.00755991,350
paquete 24,PM2 Don Rey,BRT 103-182,ALS 0532-6,El Cua,La Chata,16789,-85.6288147,13.36022663,Overall_performance-(A/B/C),B,A,Overall_performance_VS_Local-(Best/Worse),Worse,Better,Worse,Yield-(A/B/C),B,A,nic_apante_2015,Ap15,2015,commonbean,NIC,NA,NA,NA,NA,NA,75,25,29,22,27.1399515106304,26.53295412159645,15.78507646400599,15.539656844461051,0,0,11.168068224203983,11.554975755315185,0.33061077770027725,21,1,1,0,0,0.22427955627441407,5.606988906860352,5.606988906860352,5.606988906860352,28.210048489369676,27.060880268556517,16.3055837374114,15.551797836628142,0,0,11.702187133048762,11.94371130175309,0.12303671291651715,12,2,1,0,1,2.253649481411638,38.40510559082031,57.60765838623047,65.3558349609375,30.657161506900373,28.265438269302514,16.77238716896682,16.19080566952636,4,0,12.727132040283422,13.884774337933553,0.5861253230957637,11,2,0,0,0,0.3619412994384766,4.918574333190918,9.048532485961914,9.048532485961914,28.210048489369676,26.53295412159645,16.3055837374114,15.532103692652026,0,0,11.463173144349124,11.94371130175309,0.354240702800769,34,2,2,0,1,1.3141263679221824,38.40510559082031,57.60765838623047,70.96282386779785,30.657161506900373,26.53295412159645,16.77238716896682,15.532103692652026,4,0,11.82658888054172,13.884774337933553,0.7123887118397366,34,2,2,0,1,1.0527810046547337,38.40510559082031,57.60765838623047,80.01135635375977,Haplic Nitisols,-72.26858807,-98.98904133,354
paquete 25,INTA Centro Sur,INTA Rojo,INTA Sequia Fuerte,El Cua,La Chata,16784,-85.65353394,13.35621823,Overall_performance-(A/B/C),A,B,Overall_performance_VS_Local-(Best/Worse),Better,Worse,Worse,Yield-(A/B/C),A,B,nic_apante_2015,Ap15,2015,commonbean,NIC,NA,NA,NA,NA,NA,76,25,29,22,26.43192465497951,25.454505781424885,16.394155165982873,15.964845207012326,0,0,9.669183140619165,10.467079447967185,0.4664115449099633,16,2,2,0,0,0.7273849487304688,9.4024658203125,18.18462371826172,18.18462371826172,28.294393882879564,26.48227900037303,16.360951137635222,15.874207385303999,0,0,11.282890436128033,11.933442745244342,0.4913088263642359,17,1,0,0,1,1.8843118075666756,54.645042419433594,54.645042419433594,54.645042419433594,30.353394255874637,28.385031704587867,16.918045505408447,16.410134278254407,3,0,12.58901902275267,13.43534875046619,0.4551919672985147,8,1,1,0,0,0.6421923828125,7.564485549926758,7.564485549926758,16.0548095703125,28.294393882879564,25.454505781424885,16.394155165982873,15.874207385303999,0,0,10.557348675867212,11.933442745244342,0.9303757805472814,34,2,2,0,1,1.3486975210684318,54.645042419433594,54.645042419433594,72.82966613769531,30.353394255874637,25.454505781424885,16.918045505408447,15.874207385303999,3,0,11.14920909267615,13.43534875046619,1.2303429626259357,34,2,3,0,1,1.169532575105366,54.645042419433594,54.645042419433594,88.88447570800781,Haplic Nitisols,-72.29731571,-99.00975217,349
